'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B29';26;'crevette';22/2/2017;15/7/2017;0;1/3/2017;15/7/2017;4,45;5,72;1297,00;0,00;1297,00;0,36;0,00;0,00;0,00;0,00;2599,00;300633,00;109220,00;191413,00;0,00;3640,00;4334,25;290,87;2,01;0,00;0,00;0,00;0,00;0,00;64,00;0,00;0,03;1,00;2,89;0,00;
'B23';22;'crevette';24/2/2017;3/10/2017;0;1/3/2017;3/10/2017;7,08;368,00;1424,00;0,00;1424,00;0,28;0,00;0,00;0,00;0,00;3357,00;36307,00;10263,00;26044,00;0,00;5254,00;1546,16;201,07;3,17;0,00;0,00;0,00;0,00;0,00;50,00;46,00;0,00;1,00;2,86;0,00;
'B28';22;'crevette';24/2/2017;19/9/2017;0;3/3/2017;19/9/2017;6,55;302,00;1446,00;0,00;1446,00;0,21;0,00;0,00;0,00;0,00;2947,00;29205,00;6395,00;22810,00;0,00;4346,00;2186,97;220,51;2,57;0,00;0,00;0,00;0,00;0,00;56,00;61,00;0,00;1,00;3,79;0,00;
'B46';19;'crevette';24/2/2017;29/9/2017;0;3/3/2017;29/9/2017;6,88;6,80;1880,00;0,00;1880,00;0,42;0,00;0,00;0,00;0,00;4249,00;332279,00;140964,00;191315,00;0,00;4455,00;3326,99;273,04;2,26;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,17;1,00;2,40;0,00;
'B31';33;'crevette';4/3/2017;16/8/2017;0;10/3/2017;16/8/2017;5,21;209,00;735,00;0,00;735,00;0,13;0,00;0,00;0,00;0,00;1133,00;15279,00;2049,00;13230,00;0,00;2079,00;2644,05;140,99;2,15;0,00;0,00;0,00;0,00;0,00;34,00;46,00;0,00;1,00;2,89;0,00;
'B47';11;'crevette';6/3/2017;5/9/2017;0;10/3/2017;5/9/2017;5,86;303,00;1046,00;0,00;1046,00;0,35;0,00;0,00;0,00;0,00;2829,00;33173,00;11615,00;21558,00;0,00;4960,00;1390,56;178,22;3,80;0,00;0,00;0,00;0,00;0,00;50,00;158,00;0,02;1,00;2,89;0,00;
'B02';54;'tilapia';11/3/2017;12/4/2017;0;13/3/2017;12/4/2017;0,98;1014,50;1195,00;0,00;1195,00;0,00;0,00;0,00;0,00;0,00;516,00;1500,00;0,00;1529,00;0,00;1233,00;8108,30;1214,91;2,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,62;0,00;
'B24';25;'crevette';9/3/2017;27/9/2017;0;17/3/2017;27/9/2017;6,36;301,00;1518,00;0,00;1518,00;0,21;0,00;0,00;0,00;0,00;2672,00;35095,00;7650,00;27445,00;0,00;5490,00;1898,68;238,65;2,19;0,00;0,00;0,00;0,00;0,00;92,00;97,00;0,01;1,00;2,60;0,00;
'B05';31;'tilapia';14/3/2017;22/6/2017;0;16/3/2017;22/6/2017;3,21;1901,31;5779,00;0,00;5779,00;0,12;0,00;0,00;0,00;0,00;6414,00;5981,00;748,00;5233,00;0,00;6757,00;9730,37;1798,56;1,65;0,00;0,00;0,00;0,00;0,00;1978,00;1690,00;0,00;1,00;3,02;0,00;
'B40';20;'crevette';9/3/2017;12/9/2017;0;17/3/2017;12/9/2017;5,86;540,00;2005,00;0,00;2005,00;0,19;0,00;0,00;0,00;0,00;3180,00;47046,00;9185,00;37861,00;0,00;6761,00;2011,45;341,63;2,17;0,00;0,00;0,00;0,00;0,00;90,00;73,00;0,00;1,00;2,46;0,00;
