,Bassin,Cycle,Lots
1213,B48,3,1
1214,AD1,20,1
1215,B30,21,1
1216,B07,25,1
1217,B07,25,2
1218,B49,4,2
1219,B48,3,2
1220,B42,18,1
1221,B08,32,1
1222,B40,17,2
1223,B09,1,1
1224,B57,11,2
1225,B54,16,1
1226,A02,19,1
1227,B01,44,1
1228,B10,25,1
1229,B11,27,1
1230,B37,18,1
1231,B03,51,1
1232,B04,29,1
1233,B43,14,1
1234,B43,14,2
1235,B21,19,1
1236,B51,23,1
1237,B51,23,2
1238,B32,20,1
1239,B32,20,2
1240,B27,18,1
1241,B52,14,1
1242,B52,14,2
1243,A03,19,1
1244,B22,19,1
1245,B23,17,1
1246,B23,17,2
1247,B22,19,2
1248,B24,21,1
1249,B24,21,2
1250,B53,13,1
1251,B39,17,1
1252,B39,17,2
1253,B58,13,1
1254,B25,22,1
1255,B25,22,2
1256,B38,19,1
1257,B41,19,1
1258,B35,30,1
1259,B33,21,2
1260,B57,12,1
1261,B21,20,1
1262,MF,2,1
1263,B07,26,1
1264,B36,29,1
1265,B36,29,2
1266,B34,25,1
1267,B21,20,2
1268,B43,15,1
1269,B43,15,2
1270,B31,29,1
1271,B32,21,1
1272,B09,2,1
1273,B08,33,1
1274,B30,22,1
1275,B01,45,1
1276,B39,18,1
1277,B04,30,1
1278,B02,47,1
1279,B03,52,1
1280,AD1,21,1
1281,B44,18,2
1282,B39,18,2
1283,B02,47,2
1284,B03,52,2
1285,B01,45,2
1286,B35,31,1
1287,B26,30,1
1288,B42,19,1
1289,B57,12,2
1290,B05,28,1
1291,B29,24,1
1292,B51,24,1
1293,LAG,4,1
1294,B28,19,1
1295,B48,4,1
1296,B48,4,2
1297,B19,22,1
1298,A02,20,1
1299,B45,16,1
1300,B45,16,2
1301,B21,21,1
1302,B10,26,1
1303,B35,31,2
1304,B37,19,1
1305,B27,19,1
1306,B25,23,1
1307,B46,16,1
1308,A03,20,1
1309,B07,27,1
1310,B43,16,1
1311,B20,22,1
1312,B24,22,1
1313,B23,18,1
1314,B11,28,1
1315,B24,22,2
1316,B38,20,1
1317,B23,18,2
1318,B01,46,1
1319,B26,30,2
1320,B22,20,1
1321,B22,20,2
1322,B31,30,1
1323,B52,15,1
