'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
19/12/2007;0,00;0,00;22,50;19,50;19,00;0,00;190,00;0,00;16,00
20/12/2007;0,00;30,00;30,00;30,00;55,00;0,00;156,00;0,00;12,00
21/12/2007;0,00;25,00;34,00;31,00;40,00;0,00;186,00;0,00;10,00
22/12/2007;0,00;3,00;15,00;27,50;33,00;0,00;151,00;0,00;20,00
26/12/2007;0,00;0,00;7,50;20,00;42,00;0,00;118,50;0,00;9,00
27/12/2007;0,00;5,00;5,00;15,00;50,00;0,00;167,50;0,00;5,00
28/12/2007;0,00;0,00;5,00;10,00;25,00;0,00;89,50;0,00;3,00
29/12/2007;0,00;1,00;15,00;35,00;53,00;0,00;210,00;0,00;3,50
2/1/2008;0,00;5,00;10,00;20,00;60,00;0,00;205,00;0,00;11,00
3/1/2008;0,00;5,00;20,00;42,00;82,50;0,00;253,50;0,00;25,00
4/1/2008;0,00;0,00;0,00;13,00;35,00;0,00;147,00;0,00;20,00
7/1/2008;0,00;0,00;13,50;15,00;31,50;0,00;143,50;0,00;9,00
8/1/2008;0,00;0,00;5,00;9,50;27,00;0,00;44,50;0,00;2,00
10/1/2008;0,00;5,00;15,00;38,50;67,50;0,00;233,00;0,00;14,00
11/1/2008;0,00;0,00;25,00;30,00;77,00;0,00;153,00;0,00;9,00
14/1/2008;0,00;0,00;18,50;4,50;67,00;0,00;291,00;0,00;36,00
16/1/2008;0,00;0,00;15,00;15,00;45,00;0,00;149,00;0,00;16,00
18/1/2008;0,00;0,00;17,00;30,00;70,00;0,00;130,00;0,00;4,00
22/1/2008;0,00;5,00;20,00;40,00;69,00;0,00;202,00;0,00;9,00
23/1/2008;0,00;0,00;30,00;37,00;60,00;0,00;187,50;0,00;24,00
25/1/2008;0,00;0,00;5,00;4,00;5,00;0,00;6,00;0,00;0,00
28/1/2008;0,00;0,00;20,00;30,00;57,00;0,00;98,50;0,00;12,00
29/1/2008;0,00;0,00;10,00;7,50;15,00;0,00;34,00;0,00;3,00
30/1/2008;0,00;0,00;5,00;7,50;17,00;0,00;45,00;0,00;3,00
31/1/2008;0,00;0,00;30,00;40,00;45,00;0,00;165,00;0,00;13,00
4/2/2008;0,00;0,00;15,00;20,00;33,50;0,00;64,50;0,00;4,00
5/2/2008;0,00;0,00;30,00;24,00;26,00;0,00;147,00;0,00;31,00
7/2/2008;0,00;0,00;13,50;15,00;30,00;0,00;62,00;0,00;2,00
11/2/2008;0,00;0,00;10,00;27,00;30,00;0,00;156,00;0,00;14,00
14/2/2008;0,00;0,00;12,50;25,00;30,00;0,00;107,50;0,00;5,00
18/2/2008;0,00;0,00;10,00;10,00;20,00;0,00;58,50;0,00;7,00
19/2/2008;0,00;0,00;5,00;9,00;15,00;0,00;41,50;0,00;4,00
20/2/2008;0,00;0,00;10,00;15,00;25,00;0,00;89,00;0,00;2,50
25/2/2008;0,00;0,00;30,00;24,50;32,00;0,00;217,00;0,00;8,00
3/3/2008;0,00;0,00;19,50;15,00;57,50;0,00;131,50;0,00;7,00
6/3/2008;0,00;0,00;10,00;15,00;28,00;0,00;96,00;0,00;5,00
10/3/2008;0,00;0,00;40,00;40,00;71,50;0,00;327,50;7,00;30,00
13/3/2008;0,00;0,00;30,00;30,00;45,00;0,00;310,00;0,00;26,00
17/3/2008;0,00;0,00;34,00;25,00;40,00;0,00;272,00;0,00;19,00
